Gülay;415
Slobodan;415
Sibilla;413
Gabriella;413
Adina;413
Robby;413
Kornelius;413
Marjan;412
Ilja;411
Jochem;410
Ludwina;409
Jessika;409
Natali;408
Leander;408
Ilija;407
Alberto;407
Antoinette;406
Tomasz;406
Zofia;405
Wojciech;405
Franca;404
Corinne;403
Trudel;402
Bernfried;402
Ingetraut;401
Theobald;401
Attila;401
Franz-Peter;400
Louis;399
Heinz-Wilhelm;399
Witold;398
Jobst;397
Natalija;396
Lene;396
Hanny;396
Annekatrin;396
Kata;395
Arzu;395
Ernst-Otto;395
Erdogan;395
Giuseppina;394
Karl-Georg;394
Irmingard;393
Adriane;392
Wencke;391
Eberhardt;390
Adolfine;388
Hans-Rainer;388
Nuray;387
Nadeschda;387
Melissa;387
Ester;387
Adeline;387
Traugott;387
Oswin;387
Burckhard;387
Anthony;387
Stilla;386
Lissy;386
Hans-Theo;385
Paul-Gerhard;384
Oda;383
Branka;383
Reimar;383
Jonathan;382
Anastasios;382
Thaddäus;381
Franz-Xaver;381
Damaris;380
Alessandro;380
Serpil;378
Leila;377
Enver;377
Nadeshda;376
Martine;376
Ehrentraud;376
Christa-Maria;376
Romuald;376
Hans-Bernd;376
Drago;376
Antonina;375
Aleksandr;375
Bruni;373
Alexandre;373
Mirella;371
Augustin;371
Songül;370
Luka;370
Thies;370
Jan-Peter;370
Frederic;370
Milica;369
Sergio;369
Heinz-Otto;369
Gerard;369
Geraldine;365
Maurice;365
Tülay;364
Lara;364
Karl-August;364
Friedhold;364
Denny;364
Balthasar;364
Hilma;363
Samir;363
Bayram;363
Evamaria;362
Marit;361
Edit;360
Cynthia;360
Susana;359
Gülsen;359
Jaroslav;359
Filippo;359
Erkan;359
Semra;358
Mato;358
Jozef;358
Jiri;358
Dagobert;358
Aziz;358
Zeki;357
Bartholomäus;357
Concetta;356
Leonardo;356
Isidor;356
Hansgeorg;356
Trudi;355
Sylvana;355
Anna-Luise;355
Agata;355
Gitte;354
Pascale;353
Lissi;353
Korinna;353
Alida;353
Sahin;353
Muzaffer;353
Claas;352
Nick;351
Zehra;350
Imelda;350
Sandor;350
Gottlob;350
Jann;349
Arif;349
Sylwia;348
Karl-Werner;348
Horst-Günter;348
Erdal;348
Donata;347
Stefano;347
Marijan;347
Florentine;346
Fabienne;346
Saban;346
Mariusz;346
Kenan;346
Daniele;346
Siegried;345
Hanife;345
Urs;345
Ercan;345
Herlinde;344
Slawomir;343
Remo;343
Amir;343
Viviane;342
Mareile;342
Kathy;342
Joana;342
Florence;342
Zlatko;342
Jolanda;341
Ann-Kathrin;341
Jorge;341
Alfredo;341
Ilias;340
Antonietta;339
Annegrete;339
Ladislaus;339
Aneta;338
Sabri;338
Laurenz;338
